id,center,mass,dl,ll,type,displacement,shape_file,contps
873,"[0.0777558328646092, 0.015513407349801929]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010404306243162292, 6.977849387427007e-05, -0.0008199101276512098]",element_873.json,[]
874,"[0.016805811258031805, 0.014427548999370156]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00013899133428253382, 7.5058787266632875e-06, 0.04025123707093713]",element_874.json,[]
875,"[0.006766073037934071, 0.014292581254702017]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00012383685399384772, 1.3292175740633898e-05, -0.005281536257623529]",element_875.json,[]
876,"[0.007455911512362061, 0.014352602322730855]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00015321954647145724, -5.045213977817785e-05, -0.0014742709224266411]",element_876.json,[]
877,"[0.027409821961973266, 0.01460602424032995]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.000116349160039829, -7.0479994056381914e-06, 0.004002063053201994]",element_877.json,[]
878,"[0.017479342304764365, 0.01447318707118556]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00013266535203563355, -2.6520451891088514e-05, 0.040248803457689684]",element_878.json,[]
879,"[0.026744265544102974, 0.014464746725112835]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00011773284318631328, 9.366912744488783e-06, 0.00425048009120099]",element_879.json,[]
880,"[0.036733556437778876, 0.014617247733365708]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.0001174587601755353, 3.8613377654495225e-05, -0.026370894085398482]",element_880.json,[]
881,"[0.047090485617094564, 0.01511967048713086]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.0001056543808712609, 2.564653916796257e-05, -0.001472906465831705]",element_881.json,[]
882,"[0.03742567201209804, 0.014697698375203311]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00014211831742132143, -1.993446531734059e-05, -0.026415814712374263]",element_882.json,[]
883,"[0.057091417879093186, 0.01524241302487059]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010546580713594613, 4.038079025498802e-05, -0.0014663295389283288]",element_883.json,[]
884,"[0.09775235971733587, 0.015749909331946987]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010469506669096364, 9.957110010175548e-05, -0.0009428457387803504]",element_884.json,[]
885,"[0.06708666107476968, 0.015372928639161641]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.0001052751544446113, 5.566765544681834e-05, -0.0014518037623158166]",element_885.json,[]
886,"[0.09708388503039908, 0.01573533870121185]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010473736388350141, 9.924268352436937e-05, -0.0012178758394396836]",element_886.json,[]
887,"[0.06775769215115733, 0.015397280619999221]",2.7087816000000002e-08,"[0, 4.783166549280001e-07, 0]","[0, 0, 0]",mortar,"[0.00010482437811552974, 5.565347250449723e-05, -0.0014866092009210145]",element_887.json,[]
