id,x,y,nx,ny,t1x,t1y,candidate_id,antagonist_id,section_height,lever,face_id,counter_point,contact_type,mu,fc,ft,cohesion
2667,82.9902963,18.0024164,-0.2416364,-0.9703669,-0.9703669,0.2416364,447,169,0.7811903,0.3905951,1607,1000,friction,0.7000000,0,0,0
1001,82.2322552,18.1911804,0.2416364,0.9703669,0.9703669,-0.2416364,169,447,0.7811903,0.3905951,1606,2666,friction,0.7000000,0,0,0
2666,82.2322552,18.1911804,-0.2416364,-0.9703669,0.9703669,-0.2416364,447,169,0.7811903,0.3905951,1607,1001,friction,0.7000000,0,0,0
1003,83.0026963,17.9903704,0.9629640,0.2696299,0.2696299,-0.9629640,170,467,0.7912972,0.3956486,1618,2786,friction,0.7000000,0,0,0
2786,83.0026963,17.9903704,-0.9629640,-0.2696299,0.2696299,-0.9629640,467,170,0.7912972,0.3956486,1619,1003,friction,0.7000000,0,0,0
1004,83.0094868,17.9968377,-0.3162278,-0.9486833,0.9486833,-0.3162278,170,663,0.7705694,0.3852847,1612,3963,friction,0.7000000,0,0,0
3963,83.0094868,17.9968377,0.3162278,0.9486833,0.9486833,-0.3162278,663,170,0.7705694,0.3852847,1613,1004,friction,0.7000000,0,0,0
1005,83.7405132,17.7531623,-0.3162278,-0.9486833,-0.9486833,0.3162278,170,663,0.7705694,0.3852847,1612,3962,friction,0.7000000,0,0,0
3962,83.7405132,17.7531623,0.3162278,0.9486833,-0.9486833,0.3162278,663,170,0.7705694,0.3852847,1613,1005,friction,0.7000000,0,0,0
1006,83.7429289,17.7429289,-0.7071068,0.7071068,-0.7071068,-0.7071068,170,171,0.7313010,0.3656505,1616,1009,friction,0.7000000,0,0,0
1009,83.7429289,17.7429289,0.7071068,-0.7071068,-0.7071068,-0.7071068,171,170,0.7313010,0.3656505,1617,1006,friction,0.7000000,0,0,0
1007,83.2258211,17.2258211,-0.7071068,0.7071068,0.7071068,0.7071068,170,171,0.7313010,0.3656505,1616,1014,friction,0.7000000,0,0,0
1014,83.2258211,17.2258211,0.7071068,-0.7071068,0.7071068,0.7071068,171,170,0.7313010,0.3656505,1617,1007,friction,0.7000000,0,0,0
1008,83.2160537,17.2283796,0.9629640,0.2696299,-0.2696299,0.9629640,170,467,0.7912972,0.3956486,1618,2787,friction,0.7000000,0,0,0
2787,83.2160537,17.2283796,-0.9629640,-0.2696299,-0.2696299,0.9629640,467,170,0.7912972,0.3956486,1619,1008,friction,0.7000000,0,0,0
